00:00:00.004581 main     VirtualBox COM Server 7.0.20 r163906 win.amd64 (Jul 10 2024 14:54:08) release log
00:00:00.004583 main     Log opened 2024-09-18T15:14:38.106037500Z
00:00:00.004584 main     Build Type: release
00:00:00.004587 main     OS Product: Windows 11
00:00:00.004588 main     OS Release: 10.0.22631
00:00:00.004588 main     OS Service Pack: 
00:00:00.068019 main     DMI Product Name: Aspire Lite AL15-51
00:00:00.077268 main     DMI Product Version: Not Applicable
00:00:00.077284 main     Firmware type: UEFI
00:00:00.077622 main     Secure Boot: VERR_PRIVILEGE_NOT_HELD
00:00:00.077645 main     Host RAM: 7971MB (7.7GB) total, 3115MB (3.0GB) available
00:00:00.077649 main     Executable: C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe
00:00:00.077649 main     Process ID: 5672
00:00:00.077650 main     Package type: WINDOWS_64BITS_GENERIC
00:00:00.137193          VirtualBox: object creation starts
00:00:00.138768          Home directory: 'C:\Users\77770\.VirtualBox'
00:00:00.139095          Installed Drivers:
00:00:00.140656            C:\Windows\system32\DRIVERS\VBoxNetLwf.sys (Version: 7.0.20.13906)
00:00:00.141011            C:\Windows\system32\DRIVERS\VBoxUSBMon.sys (Version: 7.0.20.13906)
00:00:00.141268            C:\Windows\system32\DRIVERS\VBoxSup.sys (Version: 7.0.20.13906)
00:00:00.141630            C:\Windows\system32\DRIVERS\VBoxNetAdp6.sys (Version: 7.0.20.13906)
00:00:00.153735          Loading settings file "C:\Users\77770\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.159050          usbLibGetDevices: Starting USB device enumeration
00:00:00.200221          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#4&1b2ec2f6&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 6
00:00:00.200664          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#4&1b2ec2f6&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 7
00:00:00.200720          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#4&1b2ec2f6&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 10
00:00:00.202477          usbLibGetDevices: Found 3 USB devices, 0 captured
00:00:00.203470          USB: Unknown USB device detected (idVendor: 0x04f2, idProduct: 0xb729)
00:00:00.204268          USB: Unknown USB device detected (idVendor: 0x0d8c, idProduct: 0x0266)
00:00:00.204477          USB: Unknown USB device detected (idVendor: 0x8087, idProduct: 0x0aaa)
00:00:00.289960          HostDnsMonitor: initializing
00:00:00.296680          HostDnsMonitor: updating information
00:00:00.299214          HostDnsMonitor: old information
00:00:00.299215            no server entries
00:00:00.299216            no domain set
00:00:00.299216            no search string entries
00:00:00.299217          HostDnsMonitor: new information
00:00:00.299217            server 1: 192.168.186.59
00:00:00.299218            no domain set
00:00:00.299218            no search string entries
00:00:00.331830          VD: VDInit finished with VINF_SUCCESS
00:00:00.350823          Loading settings file "C:\Users\77770\VirtualBox VMs\LinuxforDevops_default_1726072434080_38612\LinuxforDevops_default_1726072434080_38612.vbox" with version "1.19-windows"
00:00:00.358247          VirtualBox: object created
00:00:00.375285          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7682d5eb-f00e-44f1-8ca2-99d08b1cd607} aComponent={VirtualBoxWrap} aText={Ńo extension pack providing a cryptographic support module could be found}, preserve=false aResultDetail=0
00:00:00.395212          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395277          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395403          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395486          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395566          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395645          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395728          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.395878          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.412396          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={This machine does not have any snapshots}, preserve=false aResultDetail=0
00:00:00.478227          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7682d5eb-f00e-44f1-8ca2-99d08b1cd607} aComponent={VirtualBoxWrap} aText={Ńo extension pack providing a cryptographic support module could be found}, preserve=false aResultDetail=0
00:00:00.487004          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487071          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487193          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487278          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 0 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487394          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487477          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487590          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
00:00:00.487677          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={SessionMachine} aText={No storage device attached to device slot 1 on port 1 of controller 'IDE Controller'}, preserve=false aResultDetail=0
